Golden_ID,Organisation,Organisation_Key,Reference_Date,Source_IDs,Source_URLs,Secteur_REF,Menace_REF,Localisation_REF,Secteur_Confidence,Menace_Confidence,Localisation_Confidence,Secteur_Evidence,Menace_Evidence,Localisation_Evidence,Incident_ID_Snapshot,Reviewed_At,Golden_Version,Taxonomy_Version
GOLD-0001,Cravero Motoculture,cravero motoculture,2026-08-16,CYBERATTAQUE_ORG | FRENCHBREACHES,https://frenchbreaches.com/alertes/cravero-motoculture-blgcloud-msv33dq9e4pzz9hsrts | https://www.cyberattaque.org/motoculture-cravero-49-168-fichiers-et-les-donnees-de-plus-de-8-500-personnes-diffuses/,Commerce / Distribution,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Cravero Motoculture est un distributeur de matériels de motoculture et équipements agricoles.,La source décrit la publication de dizaines de milliers de fichiers et de données de milliers de personnes.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-B99CF5D2A342,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0002,EVY,evy,2026-08-16,CYBERATTAQUE_ORG | FRENCHBREACHES,https://frenchbreaches.com/alertes/evy-msvpts753it09fb7vvf | https://www.cyberattaque.org/evy-13-870-comptes-et-contrats-dassurance-revendiques-dans-une-fuite/,Finance / Assurance,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,EVY fournit des services d'assurance et de protection de produits.,La source décrit une revendication portant sur des comptes et contrats d'assurance divulgués.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-9F3966170CB4,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0003,France-Casse,france casse,2026-08-16,CYBERATTAQUE_ORG | FRENCHBREACHES,https://frenchbreaches.com/alertes/france-casse-msv87fj5v652mg9x2mn | https://www.cyberattaque.org/francecasse-500-comptes-clients-adresses-et-commandes-exposes-dans-une-nouvelle-fuite/,Commerce / Distribution,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,France-Casse est une plateforme commerciale liée aux pièces automobiles d'occasion.,"La source décrit des comptes clients, adresses et commandes exposés.",La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-616D0ECF3BB3,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0004,Fédération Française de Danse,federation francaise de danse,2026-08-16,FRENCHBREACHES,https://frenchbreaches.com/alertes/f-d-ration-fran-aise-de-danse-msvjcwu35yln9jygazd,Sport,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Fédération sportive nationale dédiée à la danse.,L'alerte FrenchBreaches référence une violation de données attribuée à la fédération.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-C32E5C6268C,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0005,Fédération Française de Motocyclisme,federation francaise de motocyclisme,2026-08-16,FRENCHBREACHES,https://frenchbreaches.com/alertes/f-d-ration-fran-aise-de-motocyclisme-msvj2szkiclvx2gaoc,Sport,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Fédération sportive nationale dédiée au motocyclisme.,L'alerte FrenchBreaches référence une violation de données attribuée à la fédération.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-8BB56F33DD82,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0006,Fédération Française de Karaté,federation francaise de karate,2026-08-15,FRENCHBREACHES,,Sport,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Fédération sportive nationale dédiée au karaté.,L'alerte FrenchBreaches référence une violation de données attribuée à la fédération.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-2EC7AB82A87C,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0007,DGFiP,dgfip,2026-08-14,CYBERATTAQUE_ORG | FRENCHBREACHES,https://www.cyberattaque.org/dgfip-2-cyberattaque-cadastre/,Administration / Collectivité,Fuite de données,France métropolitaine,HIGH,MEDIUM,HIGH,La DGFiP est une direction de l'administration de l'État chargée des finances publiques.,La source décrit une cyberattaque revendiquée avec des données de plus de deux millions de personnes concernées.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-FDB7ABF9F4D9,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0008,Scalingo,scalingo,2026-08-13,CYBERATTAQUE_ORG | FRENCHBREACHES,https://www.cyberattaque.org/scalingo-les-donnees-de-90-000-personnes-volees-via-une-faille-critique-de-metabase/,Numérique / Technologie,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Scalingo fournit une plateforme cloud d'hébergement applicatif.,Le vol et l'exfiltration de données sont établis ; la fuite est une classe plus spécifique que l'intrusion générique.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-63CD7177BA9A,2026-08-17,2,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0009,AEFE,aefe,2026-08-11,CYBERATTAQUE_ORG | FRENCHBREACHES,https://www.cyberattaque.org/aefe-plus-de-30-000-entrees-de-lannuaire-interne-et-135-e-mails-revendiques/,Administration / Collectivité,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,L'AEFE est un établissement public chargé du réseau d'enseignement français à l'étranger.,La source décrit la revendication d'un annuaire interne et de courriels divulgués.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-A298A6DBBB1B,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0010,Santé publique France,sante publique france,2026-08-11,CYBERATTAQUE_ORG | FRENCHBREACHES,https://www.cyberattaque.org/sante-publique-france-pres-de-80-000-personnes-exposees-apres-une-faille/,Administration / Collectivité,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Santé publique France est un établissement public administratif sous tutelle du ministère chargé de la Santé.,La source décrit l'exposition des données de près de 80 000 personnes après une faille.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-601D5216F01D,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0011,Fédération Française de Handball,federation francaise de handball,2026-08-10,CYBERATTAQUE_ORG | FRENCHBREACHES,https://www.cyberattaque.org/ffhandball-136-million-de-donnees-de-licencies-en-fuite-et-vendues-50-000-euros/,Sport,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Fédération sportive nationale de handball.,La source décrit des données de licenciés mises en fuite et proposées à la vente.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-3879A78A2B32,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
