Media,URL,Actif_2026,Derniere_publication_observee,Type,Acces_public,WordPress_REST,RSS_Atom,HTML_pagine,Sitemap,Historique_accessible,Cyber_recherchable,Cout_HTTP,Blocage,Decision,Preuve
L'Info Kwezi,https://www.linfokwezi.fr/,OUI,2026-07-25,web,OUI,OUI,OUI,OUI,NON,OUI,OUI,7 requêtes pour la fenêtre 2026,aucun,DIRECT,"Audit live 2026-08-15 : GET /wp-json/wp/v2/posts?per_page=1 et /feed/ HTTP 200 ; recherche WordPress 2026 complète (15 entrées cyber candidates)."
Mayotte Hebdo,https://www.mayottehebdo.com/,OUI,2026-06-26,presse-web,OUI,OUI,OUI,OUI,NON,OUI,OUI,7 requêtes pour la fenêtre 2026,aucun,DIRECT,"Audit live 2026-08-15 : REST et RSS HTTP 200 ; 13 entrées cyber candidates par recherche WordPress. Publisher Somapresse."
Journal de Mayotte,https://lejournaldemayotte.yt/,OUI,2026-07-27,web,OUI,OUI,OUI,OUI,NON,OUI,OUI,7 requêtes pour la fenêtre 2026,aucun,DIRECT,"Audit live 2026-08-15 : REST et RSS HTTP 200 ; 22 entrées cyber candidates par recherche WordPress."
Mayotte FM,https://mayottefm.fr/category/news/,OUI,2026-05-06,TV-radio-web,OUI,OUI,OUI,OUI,NON,OUI,OUI,7 requêtes pour la fenêtre 2026,aucun,DIRECT,"Audit live 2026-08-15 : REST et RSS HTTP 200 ; recherche complète, zéro article cyber candidat dans la fenêtre."
Mayotte La 1ère,https://la1ere.franceinfo.fr/mayotte/,OUI,2026-08-15,TV-radio-web,OUI,NON,NON,NON,NON,NON,OUI,4 requêtes de sonde,"HTML actif mais deux entrées extraites et pagination générique introuvable",CANDIDATE_INACCESSIBLE,"Audit live 2026-08-15 : /rss redirige vers l'accueil ; /feed et robots de rubrique 404 ; autodetect PARTIAL/PAGINATION_BROKEN."
Flash Infos Mayotte,https://www.mayottehebdo.com/lire-flash-info/,OUI,2025-09-24,newsletter,PARTIEL,NON,NON,NON,NON,NON,NON,1 requête,"newsletter courante payante ; archive publique ancienne",CANDIDATE_INACCESSIBLE,"Page Somapresse observée le 2026-08-15 ; dernier numéro public le 2025-09-24. Les publications web communes sont attribuées à Mayotte Hebdo, pas doublement comptées."
Les Nouvelles de Mayotte,,NON,2024-04-19,newsletter,NON,NON,NON,NON,NON,NON,NON,0,"titre arrêté",INACTIVE,"Cessation annoncée par Mayotte Hebdo le 2024-04-09 pour arrêt de diffusion le 2024-04-19 ; les annonces légales 2026 ne sont pas éditoriales."
France Mayotte Matin,,INCERTAIN,2026-02-04,presse,INCERTAIN,NON,NON,NON,NON,NON,INCERTAIN,0,"activité 2026 non confirmée, distinct d'un blocage technique","CANDIDATE_TO_CONFIRM","Publication papier 2026 citée par GEPOMAY ; aucun domaine éditorial public stable identifié pendant l'audit. Publisher Kwezi, distinct de L'Info Kwezi. Statut Actif_2026=INCERTAIN : à reconfirmer, pas un angle mort technique ni un titre arrêté."
RMV Actualités,https://rmv.yt/actualites,OUI,2026-07-13,TV-radio-web,OUI,NON,NON,NON,NON,NON,OUI,15 requêtes de sonde,"sélection HTML sans pagination/API historique",CANDIDATE_INACCESSIBLE,"Audit live 2026-08-15 : page HTTP 200 et actualités 2026 ; /feed et /wp-json 404 ; aucun transport paginé exploitable sans collecteur dédié."
La Voix de Mayotte,https://www.lavoixdefrance.fr/author/lvdf_mayotte/,OUI,2026-06-28,web,OUI,OUI,INCERTAIN,INCERTAIN,NON,NON,INCERTAIN,25 requêtes de sonde,"section d'un média France, API globale sans filtre auteur déclaré",WATCH,"Hors presse mahoraise directe : section Mayotte d'un média national. À reconsidérer si une archive auteur publique filtrable est exposée."
Memento,https://www.memento.fr/actualites,OUI,2026-07-24,presse-web,OUI,INCERTAIN,INCERTAIN,INCERTAIN,NON,INCERTAIN,INCERTAIN,non mesuré,"éditeur régional océan Indien, pas titre mahorais",WATCH,"Couvre Mayotte mais n'est pas une publication mahoraise ; inventorié pour ne pas être silencieusement omis."
Yao FM / Radio Dziani / Ylang FM / Caribou FM,,INCERTAIN,,TV-radio,INCERTAIN,NON,NON,NON,NON,NON,NON,0,"aucune archive d'actualité éditoriale publique vérifiable retrouvée",WATCH,"Candidats radios recensés pendant la découverte ; aucune source web éditoriale publique techniquement exploitable identifiée le 2026-08-15."
