Golden_ID,Field,Old_Value,Proposed_Value,Decision,Confidence,Evidence_URLs,Evidence_Text,Reason,Reviewed_At
GOLD-0008,Menace,Intrusion,Fuite de données,CORRECTED,HIGH,https://www.cyberattaque.org/scalingo-les-donnees-de-90-000-personnes-volees-via-une-faille-critique-de-metabase/,Le vol et l'exfiltration de données sont établis ; la fuite est une classe plus spécifique que l'intrusion générique.,Priorité canonique : Fuite de données avant Intrusion lorsque l'exfiltration est établie.,2026-08-17
GOLD-0013,Menace,Intrusion,Fuite de données,CORRECTED,HIGH,https://www.gagny.fr/actualite/information-relative-a-un-incident-de-cybersecurite/,La Ville confirme un accès non autorisé à des données personnelles et une violation de données.,La violation de données est plus spécifique que l'accès non autorisé générique.,2026-08-17
GOLD-0016,Menace,Intrusion,Fuite de données,CORRECTED,HIGH,https://www.blgcloud.fr/evolutions-extranet/communique-de-presse-18/notification-d-incident-de-securite-et-mesures-de-protection-blgcloud-545,BLGCloud documente une exfiltration de données et de documents de clients.,Une exfiltration avérée doit être classée Fuite de données dans la taxonomie Cyberwatch.,2026-08-17
GOLD-0025,Menace,Fuite de données,Compromission de compte / messagerie,CORRECTED,HIGH,https://www.education.gouv.fr/incident-de-securite-affectant-les-donnees-de-personnels-de-l-education-nationale-505407,L'accès frauduleux du 25 juillet 2026 fait suite à l'usurpation d'un compte professionnel.,La compromission de compte est explicitement établie et prioritaire sur la fuite dans la taxonomie.,2026-08-17
GOLD-0028,Menace,Intrusion,Fuite de données,CORRECTED,HIGH,https://www.cyberattaque.org/location-etudiant-fr-pirate-10-go-de-donnees-en-fuite/,Des données et accès administrateurs ont été diffusés ; une fuite est donc établie.,La fuite avérée est plus spécifique que le terme générique piratage/intrusion.,2026-08-17
GOLD-0056,Menace,Intrusion,Fuite de données,CORRECTED,MEDIUM,https://www.cyberattaque.org/ministere-de-la-culture-45-362-contacts-professionnels-revendiques-apres-une-faille-idor/,Une base structurée de contacts est revendiquée et des échantillons ont été publiés.,La fuite est mieux établie que le vecteur IDOR revendiqué ; confiance MEDIUM faute de confirmation primaire complète.,2026-08-17
GOLD-0096,Menace,Intrusion,Compromission de compte / messagerie,CORRECTED,HIGH,https://presse.economie.gouv.fr/?p=171314,Le ministère indique que l'acteur malveillant a usurpé les identifiants d'un fonctionnaire avant l'accès au FICOBA.,La compromission d'identifiants est explicitement documentée et prioritaire sur l'intrusion générique.,2026-08-17
GOLD-0033,Secteur,Construction / BTP,Éducation / Formation,CORRECTED,HIGH,https://batipro33.fr/,BATIPRO se présente comme un organisme de formation spécialisé dans les métiers du bâtiment.,Le secteur doit refléter l'activité principale de la victime et non le secteur enseigné.,2026-08-17
GOLD-0079,Incident,,GOLD-0081,DUPLICATE,HIGH,https://www.cyberattaque.org/bordeaux-metropole-fuite-de-11-000-declarations-fiscales-apres-une-cyberattaque/,,Même organisation et même fuite à deux jours d'écart ; conserver GOLD-0081 comme cas canonique.,2026-08-17
GOLD-0063,Incident,,,REVIEW,MEDIUM,https://www.economie.gouv.fr/actualites/ficoba-tout-savoir-lacces-illegitime-au-fichier-national-des-comptes-bancaires,,La preuve FICOBA renvoie à l'incident détecté fin janvier et communiqué en février ; la date du 30 juin peut représenter une republication plutôt qu'un incident distinct.,2026-08-17
