Organisation_Key,Organisation,URL,Status,Activity_Description,Activity_Sector_Match,Extraction_Source,Page_Title,Page_Description,Fetched_At
allo e leclerc,L.Commerce,https://l.commerce/,UNREACHABLE,,,,,,2026-08-30T12:33:40.536499+00:00
cartedepeche,CarteDePeche.fr,https://cartedepeche.fr/,UNREACHABLE,,,,,,2026-08-31T16:04:39.891008+00:00
docurba,Docurba.gouv.fr,https://docurba.gouv.fr/,UNREACHABLE,,,,,,2026-08-30T12:33:40.717711+00:00
eva gg,EVA.gg,https://www.eva.gg/fr-US,MATCHED,"Réalité virtuelle en free roaming sur 500m², jeux exclusifs jusqu’à 10 joueurs en équipe ou compétition",Numérique / Technologie,llm,EVA - Salles VR free roaming en France · Esport en réalité virtuelle,"Découvrez les salles EVA : réalité virtuelle en free roaming sur 500m², jeux exclusifs jusqu’à 10 joueurs en équipe ou compétition. Réservez.",2026-08-30T12:33:40.855944+00:00
imapper tech,iMapper.tech,https://www.imapper.tech/,MATCHED,"2D laser scanner for architects, floor layers, and renovation pros. Capture complete room measurements on-site — export DXF, PDF, or integrate with your CAD workflow.",Numérique / Technologie,llm,"iMapper – Laser Floor Plans with ±2mm Accuracy, in Minutes","iMapper is a 2D laser scanner for architects, floor layers, and renovation pros. Capture complete room measurements on-site — export DXF, PDF, or integrate with your CAD workflow.",2026-08-30T12:33:41.263551+00:00
journaux,Journaux.fr,https://journaux.fr/,MATCHED,"Achat de magazines au numéro, en abonnement, en version numérique ou papier",Commerce / Distribution,llm,Journaux.fr,"Journaux.fr, premier point de presse de France : achat de magazines au numéro, en abonnement, en version numérique ou papier... mais aussi toutes les collections du moment et de nombreuses exclusivités.",2026-08-30T12:33:41.779251+00:00
klark ai,Klark.ai,https://klark.ai/,NO_EVIDENCE,,,llm_declined,Klark,Nous aidons les équipes à mieux vendre.,2026-08-25T00:00:00+00:00
lasante,LaSante.net,https://lasante.net/,MATCHED,Pharmacie en ligne française agréée par le Ministère de la Santé. Livraison 24/48h et conseils de pharmaciens diplômés,Santé,llm,LaSante.net : Pharmacie en ligne française certifiée,Pharmacie en ligne française agréée par le Ministère de la Santé. Livraison 24/48h et conseils de pharmaciens diplômés,2026-08-30T12:33:42.711742+00:00
le bon materiel,Lebonmateriel.fr,https://lebonmateriel.fr/,UNREACHABLE,,,,,,2026-08-30T12:33:42.890325+00:00
reserver,Reserver.fr,https://www.reserver.fr/,MATCHED,Réservation de billets d'avion par téléphone / réservation gratuite par des conseillers,Services aux entreprises,llm,▶ Reserver.fr : Réservation de billet d&#039;avion par téléphone,"Laissez-vous guider par nos conseillers pour la réservation gratuite de votre billet d&#039;avion, de 8h à 22h, 7j/7 au 01 89 70 50 89.",2026-08-30T12:33:44.715027+00:00
son video,Son-Video.com,https://www.son-video.com/,NO_EVIDENCE,,,llm_declined,"Son-Vidéo.com, leader français en hi-fi et home-cinéma","Son-Vidéo.com est le leader français en hi-fi et home-cinéma. Conseils, guides, avis : pour acheter facilement votre équipement en ligne ou en magasin.",2026-08-30T12:33:47.728025+00:00
