date,organisation,territoire,localisation,secteur,type_menace,acteur,statut,score_cyberattaque,impact_connu,source_urls,synthese,evolution
2026-02-04,Commune de Saint-Leu,La Réunion,Saint-Leu,Administration / Collectivité,Inconnu,Non identifié,Incident de donnée numérique signalé ; origine cyber non démontrée,15,"Une administrée a appris que son dossier numérique de renouvellement de passeport et de carte d’identité, déposé plusieurs mois auparavant et présenté comme archivé, était introuvable ; elle a dû recommencer ses démarches.",https://freedom.fr/podcast-passeport-carte-didentite-six-mois-dattente-pour-un-dossier-perdu-a-la-mairie-de-saint-leu/,Signal faible concernant la disponibilité ou l’intégrité d’une donnée administrative numérique. Aucun élément public ne démontre une cyberattaque.,inchange
2026-02-04,Infrastructure fibre multi-opérateurs / PBO,La Réunion,"Saint-Paul — Le Ruisseau, Bois-de-Nèfles",Numérique / Technologie,Inconnu,Inconnu,Atteinte malveillante physique confirmée ; cyberattaque non démontrée,10,"Un point de branchement optique a été retrouvé ouvert et endommagé, privant de nombreux abonnés de plusieurs opérateurs d’Internet et de téléphonie.",https://freedom.fr/saint-paul-un-point-de-branchement-optique-vandalise-prive-plusieurs-abonnes-dinternet-et-de-telephone/,Sabotage physique d’une infrastructure télécom ; aucune compromission logique documentée.,inchange
2026-02-19,EPF Réunion / VALGO,La Réunion,Sainte-Marie,Administration / Collectivité,Fuite de données,incransom,Revendication non corroborée,65,Des données attribuées à l'EPF Réunion sont citées dans une fuite revendiquée visant VALGO ; volume global revendiqué de 279 Go.,https://frenchbreaches.com/alertes/valgo-sa-rw_Vm1Gc1oyOGdVMEZBYVc1amNtRnVjMjl0,"Fuite de données revendiquée via un tiers et concernant explicitement l’EPF Réunion, sans confirmation publique retrouvée de l’EPF.",inchange
2026-04-24,STOR Solutions,La Réunion,Sainte-Clotilde / Saint-Denis,Numérique / Technologie,Intrusion,Non identifié publiquement,Revendication avec éléments techniques,75,"Captures présentées comme provenant de consoles réseau, cartographies d'architecture et supervision électrique ; accès et ampleur revendiqués non confirmés indépendamment.",https://www.cyberattaque.org/stor-solutions-datacenter-cyberattaque-canal-alpha/,"Intrusion revendiquée contre un acteur réunionnais du datacenter et de l’hébergement, avec éléments techniques publiés mais sans confirmation publique de la victime.",inchange
2026-05-31,Air Austral,La Réunion,Sainte-Marie,Transport / Logistique,Fuite de données,ChimeraZ,Incident rapporté comme confirmé par la compagnie ; attribution et ampleur non corroborées,100,"Publication d'une base attribuée à Air Austral contenant des informations professionnelles de salariés. Les sources OSINT évoquent environ 1 000 comptes, mais l'authenticité complète, l'origine des données et l'ampleur restent non confirmées indépendamment.",https://www.cyberattaque.org/air-austral-les-donnees-de-1-000-employes-diffusees-publiquement/ | https://frenchbreaches.com/alertes/air-austral-mpvvb04ho44kuefgda | https://www.facebook.com/lequotidien/posts/dabord-relay%C3%A9e-par-plusieurs-sites-sp%C3%A9cialis%C3%A9s-linformation-a-%C3%A9t%C3%A9-confirm%C3%A9e-par-/1629082165889606/,"L’existence de l’incident est rapportée comme confirmée par la compagnie ; la fuite de données est documentée, mais l’attribution, le vecteur et le volume revendiqué restent à distinguer de cette confirmation.",inchange
2026-06-11,Ville de Mamoudzou,Mayotte,Mamoudzou,Administration / Collectivité,Compromission de compte / messagerie,Inconnu,Confirmé officiellement,100,"Messagerie affectée, envoi de courriels non sollicités, mesures conservatoires et correctives ; aucune fuite de données identifiée à ce stade selon la Ville.",https://www.mamoudzou.yt/actualite/incident-de-cybersecurite-la-ville-de-mamoudzou-prend-toutes-les-mesures-pour-proteger-ses-systemes-et-ses-partenaires/ | https://lejournaldemayotte.yt/2026/06/11/incident-de-cybersecurite-la-ville-de-mamoudzou-assure-proteger-ses-systemes/,Incident confirmé directement par la Ville de Mamoudzou et affectant sa messagerie électronique.,inchange
2026-06-13,Commune de Ouangani,Mayotte,Ouangani,Administration / Collectivité,Inconnu,Non identifié,Incident informatique confirmé ; origine cyber non démontrée,25,"Certains services municipaux ne fonctionnaient plus, perturbant temporairement les démarches et l'accès aux informations.",https://www.govserv.org/FR/Ouangani/102429281625245/Ville-de-Ouangani,"Incident informatique municipal confirmé, sans élément public permettant de qualifier la menace cyber.",inchange
2026-06-29,Le Quotidien de La Réunion,La Réunion,La Réunion,Inconnu,Inconnu,Non identifié,Incident informatique confirmé ; origine cyber non démontrée,30,Édition du journal réduite de 32 à 16 pages à la suite d'un incident informatique.,https://www.zinfos974.com/le-quotidien-offert-ce-lundi-29-juin/,"Impact informatique confirmé, mais information insuffisante pour rattacher l’incident à une menace cyber canonique.",inchange
2026-06-29,EGEP Réunion,La Réunion,Saint-Joseph,Construction / BTP,Fuite de données,0xSec,Revendication non corroborée,60,EGEP Réunion est citée parmi huit entreprises dont des bases ou documents liés à Axonaut auraient été compromis ; le vecteur d'accès n'est pas établi.,https://frenchbreaches.com/alertes/axonaut-mqygp4ygl2o4wc6v2i,"Fuite de documents et données revendiquée pour une entreprise réunionnaise, sans confirmation indépendante de l’origine de la compromission.",inchange
2026-06-30,Lycée polyvalent Paul Moreau,La Réunion,Bras-Panon,Éducation / Formation,Fuite de données,0xSec,Revendication crédible avec échantillons ; non confirmée officiellement,80,"L'auteur revendique 716 enregistrements ; les échantillons montrent des données d'identité, de scolarité et des identifiants liés à Pix.",https://frenchbreaches.com/alertes/lyc-e-polyvalent-paul-moreau-mr0pgi7zh4w9k8gxh3d,Exfiltration et diffusion revendiquées d’une base d’élèves ; échantillons publiés mais absence de confirmation officielle.,inchange
