Golden_ID,Organisation,Reference_Date,Challenger,DB_Match_Status,DB_Match_Strategy,DB_Incident_ID,Challenger_Match_Status,Challenger_Match_Strategy,Challenger_Source_URLs,Secteur_REF,Secteur_DB,Secteur_Challenger,Secteur_DB_Match,Secteur_Challenger_Match,Menace_REF,Menace_DB,Menace_Challenger,Menace_DB_Match,Menace_Challenger_Match,Localisation_REF,Localisation_DB,Localisation_Challenger,Localisation_DB_Match,Localisation_Challenger_Match
GOLD-0001,Cravero Motoculture,2026-08-16,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-B99CF5D2A342,MATCHED,source_url,https://frenchbreaches.com/alertes/cravero-motoculture-blgcloud-msv33dq9e4pzz9hsrts,Commerce / Distribution,Commerce / Distribution,Construction / BTP,True,False,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0002,EVY,2026-08-16,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-9F3966170CB4,MATCHED,source_url,https://frenchbreaches.com/alertes/evy-msvpts753it09fb7vvf | https://www.evy.eu/fr | https://www.evy.eu/fr/legal-notice,Finance / Assurance,Finance / Assurance,Finance / Assurance,True,True,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0003,France-Casse,2026-08-16,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-616D0ECF3BB3,MATCHED,source_url,https://frenchbreaches.com/alertes/france-casse-msv87fj5v652mg9x2mn,Commerce / Distribution,Commerce / Distribution,Commerce / Distribution,True,True,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0004,Fédération Française de Danse,2026-08-16,FRENCHBREACHES_LLM_JSON,MATCHED,source_url,INC-C32E5C6268C3,MATCHED,source_url,https://frenchbreaches.com/alertes/f-d-ration-fran-aise-de-danse-msvjcwu35yln9jygazd,Sport,Sport,Sport,True,True,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0005,Fédération Française de Motocyclisme,2026-08-16,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-8BB56F33DD82,MATCHED,source_url,https://frenchbreaches.com/alertes/f-d-ration-fran-aise-de-motocyclisme-msvj2szkiclvx2gaoc,Sport,Sport,Sport,True,True,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0006,Fédération Française de Karaté,2026-08-15,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-2EC7AB82A87C,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/f-d-ration-fran-aise-de-karat-msu63ykvxde9hwoosba,Sport,Sport,Sport,True,True,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0007,DGFiP,2026-08-14,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-FDB7ABF9F4D9,MISSING,,,Administration / Collectivité,Administration / Collectivité,,True,False,Fuite de données,Fuite de données,,True,False,France métropolitaine,France métropolitaine,,True,False
GOLD-0008,Scalingo,2026-08-13,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-63CD7177BA9A,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/scalingo-mssmflhnh876wgausf | https://annuaire-entreprises.data.gouv.fr/entreprise/808665483,Numérique / Technologie,Numérique / Technologie,Numérique / Technologie,True,True,Intrusion,Fuite de données,Fuite de données,False,False,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0009,AEFE,2026-08-11,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-A298A6DBBB1B,MISSING,,,Administration / Collectivité,Administration / Collectivité,,True,False,Fuite de données,Fuite de données,,True,False,France métropolitaine,France métropolitaine,,True,False
GOLD-0010,Santé publique France,2026-08-11,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-601D5216F01D,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/sant-publique-france-msoz0zsj3vgi774sa0i,Administration / Collectivité,Inconnu,Santé,False,False,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0011,Fédération Française de Handball,2026-08-10,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-3879A78A2B32,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/f-d-ration-fran-aise-de-handball-msn9vcfexvsnlnk1ha,Sport,Sport,Sport,True,True,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0012,Mairie de Sixt-sur-Aff,2026-08-10,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-3ABFF451EA33,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/mairie-de-sixt-sur-aff-msmii0ydaxb7f5pq82k,Administration / Collectivité,Administration / Collectivité,Administration / Collectivité,True,True,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0013,Ville de Gagny,2026-08-10,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-FB41041C22B5,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/ville-de-gagny-msmim65d87im5z51ho4,Administration / Collectivité,Administration / Collectivité,Administration / Collectivité,True,True,Intrusion,Fuite de données,Fuite de données,False,False,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0014,Bureau Vallée,2026-08-09,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-2972BA18B0BD,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/bureau-vall-e-msm7y0p26cnf5r2ewtu,Commerce / Distribution,Commerce / Distribution,Commerce / Distribution,True,True,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0015,Le Mans FC,2026-08-09,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-1645372F6E23,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/le-mans-fc-msm10s9d7aa7x3v9wvi,Sport,Sport,Sport,True,True,Fuite de données,Fuite de données,Fuite de données,True,True,France métropolitaine,France métropolitaine,France métropolitaine,True,True
GOLD-0016,BlgCloud,2026-08-08,FRENCHBREACHES_LLM_JSON,MATCHED,snapshot_id,INC-1DC7E716ACF6,MATCHED,organisation_and_date,https://frenchbreaches.com/alertes/blgcloud-mskjo8rlb7gngvnvb4k,Numérique / Technologie,Inconnu,Numérique / Technologie,False,True,Intrusion,Fuite de données,Fuite de données,False,False,France métropolitaine,France métropolitaine,France métropolitaine,True,True
